0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:00 +0900] "GET /semiProject/musical HTTP/1.1" 200 36310
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:00 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:00 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:00 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:02 +0900] "GET /semiProject/drama HTTP/1.1" 200 44135
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:02 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:02 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:02 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:13 +0900] "GET /semiProject/drama HTTP/1.1" 200 44135
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:13 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:13 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:13 +0900] "GET /semiProject/img/blog/avatar/03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:13 +0900] "GET /semiProject/img/blog/avatar/01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:13 +0900] "GET /semiProject/img/blog/avatar/06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:13 +0900] "GET /semiProject/site.webmanifest HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:53 +0900] "GET /semiProject/drama HTTP/1.1" 200 44135
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:53 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:01:53 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
